Airline,Source,Destination,Total_Stops,Price,Dep_Hours,Dep_Minutes,Arrival_Hours,Arrival_Minutes,hoursMinutes
Multiple carriers,Delhi,Cochin,1 stop,10791,11,40,11,40,440
Jet Airways,Delhi,Cochin,2 stops,12819,23,5,23,5,810
IndiGo,Delhi,Cochin,1 stop,6893,5,5,5,5,300
Vistara,Banglore,Delhi,non-stop,7240,9,50,9,50,165
GoAir,Banglore,Delhi,non-stop,3898,11,40,11,40,170
IndiGo,Mumbai,Hyderabad,non-stop,4049,6,25,6,25,90
Jet Airways,Delhi,Cochin,1 stop,10262,17,30,17,30,1145
SpiceJet,Chennai,Kolkata,non-stop,3332,8,20,8,20,135
Jet Airways,Kolkata,Banglore,1 stop,10844,21,10,21,10,890
Jet Airways,Banglore,Delhi,non-stop,7229,19,55,19,55,160
Jet Airways,Kolkata,Banglore,1 stop,13941,6,30,6,30,1330
IndiGo,Delhi,Cochin,1 stop,5894,11,25,11,25,575
Multiple carriers,Delhi,Cochin,1 stop,10197,9,0,9,0,600
Jet Airways,Banglore,Delhi,1 stop,13712,14,5,14,5,1280
IndiGo,Delhi,Cochin,1 stop,5636,2,0,2,0,325
Jet Airways,Delhi,Cochin,2 stops,13014,9,40,9,40,1125
Jet Airways,Kolkata,Banglore,1 stop,7064,8,25,8,25,740
Jet Airways,Kolkata,Banglore,1 stop,10703,20,25,20,25,1080
Multiple carriers,Delhi,Cochin,1 stop,9646,13,15,13,15,555
Multiple carriers,Delhi,Cochin,1 stop,17057,2,15,2,15,665
Jet Airways,Banglore,Delhi,1 stop,13817,16,55,16,55,1050
Air India,Delhi,Cochin,2 stops,13748,5,55,5,55,800
Air India,Kolkata,Banglore,non-stop,4880,20,45,20,45,155
IndiGo,Chennai,Kolkata,non-stop,3540,5,15,5,15,145
SpiceJet,Banglore,Delhi,non-stop,3257,5,55,5,55,160
Jet Airways,Banglore,Delhi,non-stop,6478,19,50,19,50,180
Jet Airways,Mumbai,Hyderabad,non-stop,8040,7,5,7,5,85
Jet Airways,Delhi,Cochin,2 stops,14300,20,0,20,0,995
Jet Airways,Kolkata,Banglore,1 stop,14781,8,25,8,25,740
Jet Airways,Kolkata,Banglore,1 stop,14939,20,0,20,0,735
Jet Airways,Delhi,Cochin,1 stop,10262,20,55,20,55,450
Air India,Kolkata,Banglore,1 stop,6528,14,35,14,35,1440
Air India,Banglore,Delhi,non-stop,6121,6,10,6,10,165
Jet Airways,Delhi,Cochin,2 stops,13029,19,30,19,30,535
Multiple carriers,Delhi,Cochin,1 stop,11421,11,40,11,40,430
Multiple carriers,Delhi,Cochin,1 stop,7574,4,45,4,45,870
Air India,Delhi,Cochin,2 stops,11596,12,55,12,55,1820
Jet Airways,Delhi,Cochin,2 stops,15129,23,5,23,5,1195
Jet Airways,Banglore,Delhi,1 stop,13555,14,5,14,5,900
IndiGo,Banglore,Delhi,non-stop,5780,18,55,18,55,175
Vistara,Kolkata,Banglore,1 stop,9397,20,20,20,20,765
Jet Airways,Delhi,Cochin,1 stop,17024,18,15,18,15,610
GoAir,Delhi,Cochin,1 stop,5281,7,0,7,0,355
Multiple carriers,Delhi,Cochin,1 stop,10348,7,5,7,5,925
Air India,Delhi,Cochin,1 stop,12677,17,20,17,20,965
Multiple carriers,Delhi,Cochin,1 stop,15147,15,25,15,25,610
Vistara,Banglore,Delhi,non-stop,4668,7,0,7,0,160
Jet Airways,Delhi,Cochin,1 stop,15554,7,5,7,5,715
SpiceJet,Banglore,Delhi,non-stop,3971,5,55,5,55,160
Air India,Mumbai,Hyderabad,non-stop,3100,15,0,15,0,85
Jet Airways,Kolkata,Banglore,1 stop,9663,20,0,20,0,845
IndiGo,Chennai,Kolkata,non-stop,3540,5,15,5,15,145
Air India,Kolkata,Banglore,2 stops,10676,12,0,12,0,1390
Jet Airways,Kolkata,Banglore,1 stop,13044,14,5,14,5,1090
Jet Airways,Kolkata,Banglore,1 stop,14388,20,0,20,0,960
IndiGo,Banglore,Delhi,non-stop,3943,4,0,4,0,170
IndiGo,Chennai,Kolkata,non-stop,3597,14,45,14,45,140
Air India,Banglore,Delhi,1 stop,5932,11,50,11,50,480
Jet Airways,Delhi,Cochin,1 stop,10262,11,30,11,30,1015
Vistara,Delhi,Cochin,non-stop,6216,14,40,14,40,190
IndiGo,Kolkata,Banglore,non-stop,4804,20,25,20,25,165
Multiple carriers,Delhi,Cochin,1 stop,14067,11,30,11,30,840
Jet Airways,Delhi,Cochin,2 stops,15129,19,10,19,10,1430
Jet Airways,Delhi,Cochin,2 stops,13376,6,45,6,45,1300
Air India,Delhi,Cochin,2 stops,10441,22,0,22,0,1275
Jet Airways,Banglore,Delhi,non-stop,4030,6,0,6,0,165
Jet Airways,Delhi,Cochin,1 stop,17024,8,0,8,0,650
Multiple carriers,Delhi,Cochin,1 stop,13017,17,30,17,30,480
GoAir,Kolkata,Banglore,1 stop,6686,23,30,23,30,495
IndiGo,Delhi,Cochin,1 stop,5636,2,0,2,0,325
IndiGo,Delhi,Cochin,1 stop,6442,7,35,7,35,515
Multiple carriers,Delhi,Cochin,1 stop,9486,13,5,13,5,710
Jet Airways,Kolkata,Banglore,1 stop,10844,20,0,20,0,1655
Jet Airways,Delhi,Cochin,2 stops,15318,20,0,20,0,505
Air India,Delhi,Cochin,1 stop,5117,12,30,12,30,1255
IndiGo,Delhi,Cochin,1 stop,6147,15,10,15,10,290
Multiple carriers,Delhi,Cochin,1 stop,7005,12,50,12,50,490
SpiceJet,Kolkata,Banglore,non-stop,3873,22,20,22,20,140
Jet Airways,Delhi,Cochin,2 stops,9270,18,25,18,25,1465
GoAir,Banglore,Delhi,non-stop,3898,11,40,11,40,170
Jet Airways,Kolkata,Banglore,1 stop,14781,8,25,8,25,740
Jet Airways,Kolkata,Banglore,1 stop,8586,20,0,20,0,735
Air India,Kolkata,Banglore,2 stops,10697,8,20,8,20,1415
Jet Airways,Delhi,Cochin,2 stops,14300,20,0,20,0,995
IndiGo,Banglore,Delhi,non-stop,8855,18,55,18,55,170
Jet Airways,Kolkata,Banglore,1 stop,10844,16,30,16,30,1545
Jet Airways,Delhi,Cochin,1 stop,17024,2,15,2,15,1570
Jet Airways,Kolkata,Banglore,1 stop,9314,9,35,9,35,1730
IndiGo,Banglore,Delhi,non-stop,4777,0,40,0,40,165
Air India,Kolkata,Banglore,1 stop,7662,12,0,12,0,1515
IndiGo,Delhi,Cochin,1 stop,6442,6,50,6,50,560
SpiceJet,Delhi,Cochin,1 stop,5264,8,45,8,45,270
Jet Airways,Delhi,Cochin,1 stop,12898,13,0,13,0,925
Air India,Mumbai,Hyderabad,non-stop,6092,13,55,13,55,90
SpiceJet,Banglore,Delhi,non-stop,3311,5,55,5,55,160
Jet Airways,Delhi,Cochin,1 stop,6540,19,15,19,15,550
IndiGo,Banglore,Delhi,non-stop,3419,1,30,1,30,165
Jet Airways,Delhi,Cochin,1 stop,5177,14,0,14,0,1355
Air India,Delhi,Cochin,non-stop,8246,18,5,18,5,185
Jet Airways,Kolkata,Banglore,1 stop,14676,9,35,9,35,690
Multiple carriers,Delhi,Cochin,1 stop,13587,11,30,11,30,570
Jet Airways,Kolkata,Banglore,1 stop,9663,21,10,21,10,730
Jet Airways,Kolkata,Banglore,1 stop,13044,16,30,16,30,1055
IndiGo,Delhi,Cochin,1 stop,5073,20,25,20,25,305
Vistara,Kolkata,Banglore,1 stop,9345,17,0,17,0,1550
Jet Airways,Kolkata,Banglore,1 stop,9663,14,5,14,5,1200
Multiple carriers,Delhi,Cochin,1 stop,14277,8,0,8,0,780
Jet Airways,Delhi,Cochin,1 stop,10262,10,0,10,0,1105
Jet Airways,Mumbai,Hyderabad,non-stop,5678,19,35,19,35,90
Multiple carriers,Delhi,Cochin,1 stop,13727,16,0,16,0,570
Jet Airways,Kolkata,Banglore,1 stop,9663,20,0,20,0,960
IndiGo,Chennai,Kolkata,non-stop,3858,14,45,14,45,140
SpiceJet,Delhi,Cochin,1 stop,4812,8,45,8,45,270
IndiGo,Delhi,Cochin,1 stop,5775,21,50,21,50,345
Jet Airways,Kolkata,Banglore,1 stop,10539,9,35,9,35,1450
IndiGo,Kolkata,Banglore,non-stop,4804,15,30,15,30,155
Air Asia,Banglore,Delhi,non-stop,3383,11,10,11,10,165
IndiGo,Banglore,Delhi,1 stop,8738,12,10,12,10,295
Air India,Delhi,Cochin,1 stop,7165,5,15,5,15,1535
IndiGo,Delhi,Cochin,1 stop,6412,16,10,16,10,380
Jet Airways,Banglore,Delhi,non-stop,8016,18,55,18,55,185
Jet Airways,Banglore,Delhi,1 stop,11087,20,35,20,35,1120
SpiceJet,Chennai,Kolkata,non-stop,3543,9,45,9,45,135
Jet Airways,Kolkata,Banglore,1 stop,12471,16,30,16,30,730
Jet Airways,Delhi,Cochin,1 stop,10262,9,0,9,0,1165
Air India,Banglore,Delhi,non-stop,4441,13,20,13,20,170
Multiple carriers,Delhi,Cochin,1 stop,12537,7,5,7,5,505
GoAir,Kolkata,Banglore,1 stop,10091,22,25,22,25,555
Air India,Banglore,Delhi,non-stop,6961,21,5,21,5,170
IndiGo,Delhi,Cochin,non-stop,5013,5,35,5,35,195
Air India,Delhi,Cochin,non-stop,6934,5,10,5,10,170
Multiple carriers,Delhi,Cochin,1 stop,10877,6,40,6,40,740
Jet Airways,Banglore,Delhi,non-stop,7229,15,15,15,15,175
IndiGo,Delhi,Cochin,1 stop,7048,16,0,16,0,575
Vistara,Banglore,Delhi,non-stop,4878,17,0,17,0,155
Jet Airways,Kolkata,Banglore,1 stop,10844,14,5,14,5,570
Jet Airways,Delhi,Cochin,2 stops,15129,23,5,23,5,1760
IndiGo,Banglore,Delhi,non-stop,3943,0,30,0,30,175
SpiceJet,Delhi,Cochin,1 stop,5583,6,5,6,5,315
Multiple carriers,Delhi,Cochin,1 stop,9646,7,5,7,5,545
Multiple carriers,Delhi,Cochin,1 stop,7677,8,30,8,30,645
IndiGo,Delhi,Cochin,1 stop,6842,5,10,5,10,295
Jet Airways,Mumbai,Hyderabad,non-stop,4995,8,45,8,45,90
Vistara,Kolkata,Banglore,1 stop,9555,7,10,7,10,700
IndiGo,Banglore,Delhi,non-stop,4077,1,30,1,30,165
Jet Airways,Banglore,Delhi,non-stop,7229,15,15,15,15,175
Multiple carriers,Delhi,Cochin,1 stop,12192,9,0,9,0,600
Air India,Banglore,Delhi,non-stop,5911,10,0,10,0,165
Air India,Delhi,Cochin,1 stop,8372,9,0,9,0,615
Jet Airways,Mumbai,Hyderabad,non-stop,4995,7,10,7,10,85
Multiple carriers,Delhi,Cochin,1 stop,14323,10,0,10,0,555
Jet Airways,Delhi,Cochin,2 stops,13014,5,30,5,30,1375
Air India,Delhi,Cochin,2 stops,13591,14,25,14,25,1730
Jet Airways,Delhi,Cochin,2 stops,18799,5,25,5,25,2245
IndiGo,Banglore,Delhi,non-stop,3943,23,30,23,30,170
SpiceJet,Mumbai,Hyderabad,non-stop,1965,5,45,5,45,90
Jet Airways,Mumbai,Hyderabad,non-stop,4995,10,20,10,20,90
Air India,Kolkata,Banglore,1 stop,14641,16,50,16,50,1540
Air India,Kolkata,Banglore,non-stop,4460,20,45,20,45,155
Air India,Delhi,Cochin,1 stop,10191,13,0,13,0,375
Jet Airways,Delhi,Cochin,1 stop,13843,2,15,2,15,1050
IndiGo,Delhi,Cochin,1 stop,6349,21,50,21,50,345
Air Asia,Kolkata,Banglore,non-stop,4409,10,20,10,20,155
Jet Airways,Delhi,Cochin,1 stop,17024,18,15,18,15,1530
Multiple carriers,Delhi,Cochin,1 stop,13727,7,5,7,5,835
IndiGo,Banglore,Delhi,non-stop,8855,18,25,18,25,175
Multiple carriers,Delhi,Cochin,1 stop,12524,8,45,8,45,615
Jet Airways,Banglore,Delhi,1 stop,13555,11,40,11,40,520
Jet Airways,Kolkata,Banglore,1 stop,10844,6,30,6,30,330
Multiple carriers,Delhi,Cochin,1 stop,13587,9,0,9,0,720
SpiceJet,Chennai,Kolkata,non-stop,3543,9,45,9,45,135
Vistara,Chennai,Kolkata,non-stop,4842,7,5,7,5,135
IndiGo,Banglore,Delhi,non-stop,3943,23,30,23,30,170
Jet Airways,Delhi,Cochin,1 stop,10577,19,15,19,15,550
IndiGo,Delhi,Cochin,1 stop,6979,10,35,10,35,625
Vistara,Chennai,Kolkata,non-stop,11982,17,45,17,45,140
SpiceJet,Delhi,Cochin,1 stop,5264,8,45,8,45,270
Vistara,Delhi,Cochin,non-stop,8001,6,0,6,0,190
Air India,Delhi,Cochin,2 stops,10651,19,45,19,45,1410
Jet Airways,Kolkata,Banglore,1 stop,10844,16,30,16,30,1640
Multiple carriers,Delhi,Cochin,1 stop,6601,9,45,9,45,755
Air India,Delhi,Cochin,1 stop,6587,19,0,19,0,1455
SpiceJet,Mumbai,Hyderabad,non-stop,3173,13,10,13,10,80
Air India,Banglore,Delhi,non-stop,5228,10,0,10,0,165
Jet Airways,Banglore,Delhi,non-stop,5769,7,10,7,10,180
Jet Airways,Delhi,Cochin,1 stop,14714,8,0,8,0,660
Jet Airways,Delhi,Cochin,2 stops,13014,5,30,5,30,810
IndiGo,Banglore,Delhi,non-stop,3359,22,10,22,10,170
GoAir,Banglore,Delhi,non-stop,6722,20,55,20,55,175
IndiGo,Kolkata,Banglore,non-stop,4462,9,35,9,35,165
IndiGo,Delhi,Cochin,1 stop,6171,4,55,4,55,675
Air India,Kolkata,Banglore,2 stops,12303,5,50,5,50,875
Multiple carriers,Delhi,Cochin,1 stop,7695,11,40,11,40,835
IndiGo,Delhi,Cochin,1 stop,5684,11,25,11,25,845
Air India,Kolkata,Banglore,1 stop,8366,16,50,16,50,905
Air India,Chennai,Kolkata,non-stop,19630,11,40,11,40,135
Jet Airways,Banglore,Delhi,1 stop,13502,14,5,14,5,900
Jet Airways,Kolkata,Banglore,1 stop,14781,21,10,21,10,775
Multiple carriers,Delhi,Cochin,1 stop,6513,7,10,7,10,540
Air India,Delhi,Cochin,1 stop,9929,7,0,7,0,735
Multiple carriers,Delhi,Cochin,2 stops,18275,17,50,17,50,460
Air India,Delhi,Cochin,1 stop,4487,6,5,6,5,1640
IndiGo,Mumbai,Hyderabad,non-stop,2754,21,20,21,20,85
Air India,Mumbai,Hyderabad,non-stop,2575,6,20,6,20,80
Air India,Delhi,Cochin,1 stop,8991,20,30,20,30,705
IndiGo,Delhi,Cochin,non-stop,5000,5,35,5,35,195
Jet Airways,Kolkata,Banglore,1 stop,8529,18,55,18,55,1495
Air India,Delhi,Cochin,1 stop,14042,6,5,6,5,1640
Jet Airways,Banglore,Delhi,non-stop,4030,11,10,11,10,175
Jet Airways,Kolkata,Banglore,1 stop,10844,18,55,18,55,1025
IndiGo,Kolkata,Banglore,non-stop,4804,21,25,21,25,160
Multiple carriers,Delhi,Cochin,1 stop,7308,17,30,17,30,480
IndiGo,Banglore,Delhi,non-stop,4823,16,55,16,55,180
Jet Airways,Delhi,Cochin,1 stop,10262,9,0,9,0,1655
Jet Airways,Delhi,Cochin,1 stop,12898,20,55,20,55,450
Air India,Banglore,Delhi,2 stops,12778,17,25,17,25,1375
Air India,Delhi,Cochin,2 stops,8708,13,20,13,20,1795
Jet Airways,Kolkata,Banglore,1 stop,10844,20,0,20,0,1335
SpiceJet,Mumbai,Hyderabad,non-stop,4129,5,45,5,45,80
IndiGo,Kolkata,Banglore,non-stop,4804,21,25,21,25,160
Jet Airways,Banglore,Delhi,non-stop,7229,8,20,8,20,180
Jet Airways,Banglore,Delhi,1 stop,7832,7,0,7,0,730
SpiceJet,Chennai,Kolkata,non-stop,3859,9,30,9,30,155
Multiple carriers,Delhi,Cochin,1 stop,9001,7,30,7,30,705
Vistara,Banglore,Delhi,non-stop,4878,17,0,17,0,155
IndiGo,Mumbai,Hyderabad,non-stop,2754,2,35,2,35,90
Vistara,Banglore,Delhi,non-stop,4668,7,0,7,0,160
Air Asia,Kolkata,Banglore,non-stop,5216,10,20,10,20,155
Jet Airways,Delhi,Cochin,2 stops,10368,5,30,5,30,1375
IndiGo,Delhi,Cochin,2 stops,8146,6,40,6,40,880
Jet Airways,Delhi,Cochin,1 stop,12242,13,0,13,0,925
Jet Airways,Banglore,Delhi,1 stop,9134,8,0,8,0,435
Air India,Delhi,Cochin,2 stops,10939,13,15,13,15,1210
Air India,Delhi,Cochin,2 stops,11753,10,55,10,55,1245
SpiceJet,Kolkata,Banglore,non-stop,4174,17,10,17,10,150
Jet Airways,Kolkata,Banglore,1 stop,10844,20,0,20,0,1430
Jet Airways,Delhi,Cochin,1 stop,14714,16,0,16,0,1620
Jet Airways,Kolkata,Banglore,1 stop,9899,6,30,6,30,330
IndiGo,Chennai,Kolkata,non-stop,7295,13,20,13,20,135
Air India,Delhi,Cochin,2 stops,13465,18,45,18,45,1470
SpiceJet,Chennai,Kolkata,non-stop,3543,17,45,17,45,140
Multiple carriers,Delhi,Cochin,1 stop,7198,19,0,19,0,390
Jet Airways,Delhi,Cochin,1 stop,10262,8,0,8,0,1225
IndiGo,Kolkata,Banglore,non-stop,4148,15,20,15,20,155
Jet Airways,Banglore,Delhi,non-stop,8016,15,15,15,15,175
Jet Airways,Delhi,Cochin,1 stop,10262,22,50,22,50,335
SpiceJet,Kolkata,Banglore,non-stop,3841,14,55,14,55,150
Jet Airways,Banglore,Delhi,1 stop,11507,9,45,9,45,885
Jet Airways,Kolkata,Banglore,1 stop,14781,8,25,8,25,740
Jet Airways,Delhi,Cochin,1 stop,16079,17,30,17,30,1530
Jet Airways,Delhi,Cochin,1 stop,12898,22,50,22,50,335
Multiple carriers,Delhi,Cochin,1 stop,15353,7,30,7,30,705
IndiGo,Banglore,Delhi,non-stop,7303,18,25,18,25,175
SpiceJet,Kolkata,Banglore,1 stop,6197,15,5,15,5,340
Air India,Kolkata,Banglore,1 stop,8996,9,10,9,10,245
IndiGo,Delhi,Cochin,1 stop,6528,14,20,14,20,480
GoAir,Banglore,Delhi,non-stop,4239,20,55,20,55,165
IndiGo,Kolkata,Banglore,non-stop,4148,20,25,20,25,160
SpiceJet,Banglore,Delhi,non-stop,3971,21,10,21,10,175
Air Asia,Kolkata,Banglore,1 stop,5192,7,35,7,35,955
Jet Airways,Delhi,Cochin,2 stops,9483,13,25,13,25,1390
Jet Airways,Delhi,Cochin,2 stops,18804,11,40,11,40,440
Air India,Delhi,Cochin,non-stop,5201,5,10,5,10,170
Jet Airways,Delhi,Cochin,1 stop,16079,11,30,11,30,450
Jet Airways,Banglore,Delhi,non-stop,7229,19,50,19,50,180
Multiple carriers,Delhi,Cochin,1 stop,6795,17,45,17,45,465
Jet Airways,Kolkata,Banglore,1 stop,10953,9,35,9,35,1520
Multiple carriers,Delhi,Cochin,2 stops,15965,15,5,15,5,625
Air India,Delhi,Cochin,2 stops,9968,12,55,12,55,1820
IndiGo,Kolkata,Banglore,non-stop,4804,22,15,22,15,155
Jet Airways,Delhi,Cochin,1 stop,16079,10,0,10,0,540
Jet Airways,Delhi,Cochin,2 stops,11507,21,25,21,25,910
Air India,Kolkata,Banglore,2 stops,11542,9,25,9,25,1700
Jet Airways,Banglore,Delhi,non-stop,7229,17,45,17,45,180
Jet Airways,Banglore,Delhi,non-stop,4544,6,0,6,0,165
IndiGo,Delhi,Cochin,1 stop,6496,5,10,5,10,295
IndiGo,Kolkata,Banglore,non-stop,4804,21,25,21,25,160
Air India,Banglore,Delhi,1 stop,13439,11,5,11,5,1330
Jet Airways,Delhi,Cochin,1 stop,6540,18,15,18,15,610
IndiGo,Banglore,Delhi,non-stop,4591,23,30,23,30,170
IndiGo,Banglore,Delhi,1 stop,4437,16,15,16,15,260
Air Asia,Delhi,Cochin,1 stop,6151,20,10,20,10,660
Jet Airways,Banglore,Delhi,non-stop,7754,17,45,17,45,180
Jet Airways,Delhi,Cochin,1 stop,10262,14,0,14,0,1355
Jet Airways,Banglore,Delhi,non-stop,8016,18,55,18,55,185
SpiceJet,Kolkata,Banglore,non-stop,4781,6,55,6,55,160
Vistara,Banglore,Delhi,non-stop,4668,11,30,11,30,170
Air India,Banglore,Delhi,1 stop,14594,11,50,11,50,1265
Jet Airways,Kolkata,Banglore,1 stop,14231,16,55,16,55,710
Air India,Delhi,Cochin,1 stop,8425,5,15,5,15,1535
Multiple carriers,Delhi,Cochin,1 stop,9646,7,5,7,5,925
IndiGo,Chennai,Kolkata,non-stop,7295,14,40,14,40,145
Air Asia,Kolkata,Banglore,1 stop,5162,6,50,6,50,220
IndiGo,Banglore,Delhi,non-stop,6860,18,25,18,25,175
Vistara,Delhi,Cochin,non-stop,6216,6,0,6,0,190
Air Asia,Kolkata,Banglore,1 stop,5192,7,35,7,35,710
IndiGo,Banglore,Delhi,non-stop,4823,20,0,20,0,170
SpiceJet,Banglore,Delhi,non-stop,3919,9,30,9,30,170
IndiGo,Mumbai,Hyderabad,non-stop,2754,19,5,19,5,90
Multiple carriers,Delhi,Cochin,1 stop,9315,7,30,7,30,690
Multiple carriers,Delhi,Cochin,1 stop,11667,10,0,10,0,530
Jet Airways,Kolkata,Banglore,1 stop,6224,8,25,8,25,1215
Air India,Kolkata,Banglore,2 stops,13349,9,25,9,25,1210
Jet Airways,Banglore,Delhi,1 stop,11087,16,55,16,55,965
Multiple carriers,Delhi,Cochin,1 stop,15603,13,0,13,0,755
Jet Airways,Delhi,Cochin,2 stops,15129,19,30,19,30,1025
IndiGo,Banglore,Delhi,non-stop,4823,16,55,16,55,180
Vistara,Kolkata,Banglore,1 stop,8452,7,10,7,10,930
Multiple carriers,Delhi,Cochin,1 stop,12524,7,30,7,30,690
SpiceJet,Chennai,Kolkata,non-stop,3384,17,45,17,45,140
Jet Airways,Delhi,Cochin,1 stop,10262,19,15,19,15,1425
SpiceJet,Mumbai,Hyderabad,non-stop,1965,13,15,13,15,90
IndiGo,Kolkata,Banglore,non-stop,4804,22,15,22,15,155
Jet Airways,Delhi,Cochin,1 stop,16079,18,15,18,15,1485
Jet Airways,Delhi,Cochin,2 stops,13292,21,25,21,25,1295
Air Asia,Delhi,Cochin,1 stop,6751,7,55,7,55,330
Air India,Delhi,Cochin,1 stop,8669,7,0,7,0,735
Jet Airways,Delhi,Cochin,1 stop,12898,14,0,14,0,300
SpiceJet,Banglore,Delhi,non-stop,3919,9,30,9,30,170
IndiGo,Chennai,Kolkata,non-stop,3597,19,35,19,35,140
Air India,Banglore,Delhi,non-stop,10741,17,0,17,0,165
Air India,Kolkata,Banglore,2 stops,11432,16,50,16,50,765
Jet Airways,Banglore,Delhi,1 stop,11087,18,55,18,55,950
Jet Airways,Delhi,Cochin,2 stops,13292,9,35,9,35,1620
Air India,Delhi,Cochin,3 stops,10493,5,15,5,15,1585
GoAir,Banglore,Delhi,non-stop,7631,7,45,7,45,175
Air India,Delhi,Cochin,2 stops,13381,6,50,6,50,1490
Jet Airways,Kolkata,Banglore,1 stop,13731,20,0,20,0,520
Air India,Delhi,Cochin,2 stops,11911,5,55,5,55,1545
